audio_file,embedding_file
301_1.mp3,301.npy
301_2.mp3,301.npy
301_3.mp3,301.npy
301_4.mp3,301.npy
301_5.mp3,301.npy
301_6.mp3,301.npy
301_7.mp3,301.npy
301_8.mp3,301.npy
301_9.mp3,301.npy
301_10.mp3,301.npy
301_11.mp3,301.npy
301_12.mp3,301.npy
301_13.mp3,301.npy
301_14.mp3,301.npy
301_15.mp3,301.npy
301_16.mp3,301.npy
301_17.mp3,301.npy
301_18.mp3,301.npy
301_19.mp3,301.npy
301_20.mp3,301.npy
337_1.mp3,337.npy
337_2.mp3,337.npy
337_3.mp3,337.npy
337_4.mp3,337.npy
337_5.mp3,337.npy
337_6.mp3,337.npy
337_7.mp3,337.npy
337_8.mp3,337.npy
337_9.mp3,337.npy
337_10.mp3,337.npy
337_11.mp3,337.npy
337_12.mp3,337.npy
337_13.mp3,337.npy
337_14.mp3,337.npy
337_15.mp3,337.npy
337_16.mp3,337.npy
337_17.mp3,337.npy
337_18.mp3,337.npy
337_19.mp3,337.npy
337_20.mp3,337.npy
264_1.mp3,264.npy
264_2.mp3,264.npy
264_3.mp3,264.npy
264_4.mp3,264.npy
264_5.mp3,264.npy
264_6.mp3,264.npy
264_7.mp3,264.npy
264_8.mp3,264.npy
264_9.mp3,264.npy
264_10.mp3,264.npy
264_11.mp3,264.npy
264_12.mp3,264.npy
264_13.mp3,264.npy
264_14.mp3,264.npy
264_15.mp3,264.npy
264_16.mp3,264.npy
264_17.mp3,264.npy
264_18.mp3,264.npy
264_19.mp3,264.npy
264_20.mp3,264.npy
191_1.mp3,191.npy
191_2.mp3,191.npy
191_3.mp3,191.npy
191_4.mp3,191.npy
191_5.mp3,191.npy
191_6.mp3,191.npy
191_7.mp3,191.npy
191_8.mp3,191.npy
191_9.mp3,191.npy
191_10.mp3,191.npy
191_11.mp3,191.npy
191_12.mp3,191.npy
191_13.mp3,191.npy
191_14.mp3,191.npy
191_15.mp3,191.npy
191_16.mp3,191.npy
191_17.mp3,191.npy
191_18.mp3,191.npy
191_19.mp3,191.npy
191_20.mp3,191.npy
446_1.mp3,446.npy
446_2.mp3,446.npy
446_3.mp3,446.npy
446_4.mp3,446.npy
446_5.mp3,446.npy
446_6.mp3,446.npy
446_7.mp3,446.npy
446_8.mp3,446.npy
446_9.mp3,446.npy
446_10.mp3,446.npy
446_11.mp3,446.npy
446_12.mp3,446.npy
446_13.mp3,446.npy
446_14.mp3,446.npy
446_15.mp3,446.npy
446_16.mp3,446.npy
446_17.mp3,446.npy
446_18.mp3,446.npy
446_19.mp3,446.npy
446_20.mp3,446.npy
373_1.mp3,373.npy
373_2.mp3,373.npy
373_3.mp3,373.npy
373_4.mp3,373.npy
373_5.mp3,373.npy
373_6.mp3,373.npy
373_7.mp3,373.npy
373_8.mp3,373.npy
373_9.mp3,373.npy
373_10.mp3,373.npy
373_11.mp3,373.npy
373_12.mp3,373.npy
373_13.mp3,373.npy
373_14.mp3,373.npy
373_15.mp3,373.npy
373_16.mp3,373.npy
373_17.mp3,373.npy
373_18.mp3,373.npy
373_19.mp3,373.npy
373_20.mp3,373.npy
118_1.mp3,118.npy
118_2.mp3,118.npy
118_3.mp3,118.npy
118_4.mp3,118.npy
118_5.mp3,118.npy
118_6.mp3,118.npy
118_7.mp3,118.npy
118_8.mp3,118.npy
118_9.mp3,118.npy
118_10.mp3,118.npy
118_11.mp3,118.npy
118_12.mp3,118.npy
118_13.mp3,118.npy
118_14.mp3,118.npy
118_15.mp3,118.npy
118_16.mp3,118.npy
118_17.mp3,118.npy
118_18.mp3,118.npy
118_19.mp3,118.npy
118_20.mp3,118.npy
300_1.mp3,300.npy
300_2.mp3,300.npy
300_3.mp3,300.npy
300_4.mp3,300.npy
300_5.mp3,300.npy
300_6.mp3,300.npy
300_7.mp3,300.npy
300_8.mp3,300.npy
300_9.mp3,300.npy
300_10.mp3,300.npy
300_11.mp3,300.npy
300_12.mp3,300.npy
300_13.mp3,300.npy
300_14.mp3,300.npy
300_15.mp3,300.npy
300_16.mp3,300.npy
300_17.mp3,300.npy
300_18.mp3,300.npy
300_19.mp3,300.npy
300_20.mp3,300.npy
9_1.mp3,9.npy
9_2.mp3,9.npy
9_3.mp3,9.npy
9_4.mp3,9.npy
9_5.mp3,9.npy
9_6.mp3,9.npy
9_7.mp3,9.npy
9_8.mp3,9.npy
9_9.mp3,9.npy
9_10.mp3,9.npy
9_11.mp3,9.npy
9_12.mp3,9.npy
9_13.mp3,9.npy
9_14.mp3,9.npy
